id,company,state,website,email,score,source_kind,source_url,reasons
654,Modelcraft Laser,New South Wales,https://mclaser.com.au/,sales@mclaser.com.au,100,mailto,https://mclaser.com.au/pages/contact,found as mailto; mailto link; email domain matches website; useful contact role; found on contact/about-style page
655,Creative Spot NT,Northern Territory,https://creativespotnt.com.au/,info@creativespotnt.com.au,100,mailto,https://creativespotnt.com.au/,found as mailto; mailto link; email domain matches website; useful contact role
656,Territory Engraving,Northern Territory,https://territoryengraving.com.au/,sales@territoryengraving.com.au,100,mailto,https://territoryengraving.com.au/,found as mailto; mailto link; email domain matches website; useful contact role
657,Grand Engrave,Queensland,https://grandengrave.com.au/,home@grandengrave.com.au,100,mailto,https://grandengrave.com.au/contact-page/,found as mailto; mailto link; email domain matches website; found on contact/about-style page
661,Verge Laser,Queensland,https://vergelaser.com.au/,info@vergelaser.com.au,100,mailto,https://vergelaser.com.au/,found as mailto; mailto link; email domain matches website; useful contact role
665,Phrax Laser,South Australia,https://phraxlaser.com.au/,info@phraxlaser.com.au,100,mailto,https://phraxlaser.com.au/,found as mailto; mailto link; email domain matches website; useful contact role
666,Australian Engraving,Victoria,https://australianengraving.com.au/,info@australianengraving.com.au,100,mailto,https://australianengraving.com.au/,found as mailto; mailto link; email domain matches website; useful contact role
667,Melbourne City Engraving,Victoria,https://melbournecityengraving.com.au/,phillip@melbournecityengraving.com.au,100,mailto,https://melbournecityengraving.com.au/about-us/,found as mailto; mailto link; email domain matches website; found on contact/about-style page
668,Melbourne Engraving,Victoria,https://melbourneengraving.com.au/,info@melbourneengraving.com.au,100,mailto,https://melbourneengraving.com.au/contact/,found as mailto; mailto link; email domain matches website; useful contact role; found on contact/about-style page
669,VR Laser,Victoria,https://vr-laser.com.au/,info@vr-laser.com.au,100,mailto,https://vr-laser.com.au/,found as mailto; mailto link; email domain matches website; useful contact role
670,Kanyana Engineering,Western Australia,https://kanyanaengineering.com.au/,sales@kanyanaengineering.com,95,cloudflare,https://kanyanaengineering.com.au/contact/,found as cloudflare; cloudflare-protected email; email domain resembles website; useful contact role; found on contact/about-style page
671,PCI Laser Cutting,Western Australia,https://pcilasercutting.com.au/,hello@pcilasercutting.com.au,100,mailto,https://pcilasercutting.com.au/,found as mailto; mailto link; email domain matches website; useful contact role
672,WA Engraving,Western Australia,https://waengraving.com.au/,sales@waengraving.com.au,100,mailto,https://waengraving.com.au/,found as mailto; mailto link; email domain matches website; useful contact role
673,Artcom Fabrication,Western Australia,https://artcomfabrication.com.au/,info@artcomfabrication.com.au,100,mailto,https://artcomfabrication.com.au/,found as mailto; mailto link; email domain matches website; useful contact role
