id,company,state,website,email,score,source_kind,source_url,reasons
10,Vision Engraving Enterprises,California,https://www.visionengraving.com/,president@visionengraving.com,85,visible,https://www.visionengraving.com/contact/,found as visible; visible page text; email domain matches website; found on contact/about-style page
12,Pagoda Arts LLC,California,http://www.pagodaarts.com/,info@pagodaarts.com,100,mailto,http://www.pagodaarts.com/,found as mailto; mailto link; email domain matches website; useful contact role
16,Inscriptu,California,https://www.inscriptu.com/,projects@inscriptu.com,85,visible,https://www.inscriptu.com/contact-us.html,found as visible; visible page text; email domain matches website; found on contact/about-style page
20,Sign Design,California,https://www.signdesignoc.com/laser-engraving-and-cutting,keith@signdesignoc.com,100,mailto,https://www.signdesignoc.com/contact,found as mailto; mailto link; email domain matches website; found on contact/about-style page
42,ZLazr,Texas,http://zlazr.com/,fzlaser@yahoo.com,80,mailto,http://zlazr.com/pages/contact-us,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page
43,Engrave Quick,Texas,https://engravequick.com/,engravequick@gmail.com,65,visible,https://engravequick.com/contact-us/,found as visible; visible page text; common small-business mailbox; found on contact/about-style page
45,Halsey Manufacturing,Texas,https://halseymfg.com/laser-engraving.html,sales@halseymfg.com,100,mailto,https://halseymfg.com/contact.html,found as mailto; mailto link; email domain matches website; useful contact role; found on contact/about-style page
46,Signs Visual of Los Angeles,California,https://www.signs-la.com,info@signs-la.com,100,mailto,https://www.signs-la.com,found as mailto; mailto link; email domain matches website; useful contact role
48,LA Sign Company,California,https://www.lasignco.com,info@lasignco.com,100,mailto,https://www.lasignco.com/about-us/,found as mailto; mailto link; email domain matches website; useful contact role; found on contact/about-style page
50,American Laser Cutter,California,https://www.americanlaserco.com,americanlaserco@gmail.com,80,mailto,https://www.americanlaserco.com/contact-us/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page
51,Signs By Tomorrow Santa Clarita,California,https://www.signsbytomorrow.com/santaclarita,info@sbtsantaclarita.com,85,mailto,https://www.signsbytomorrow.com/santaclarita/sign-company-contact,found as mailto; mailto link; useful contact role; found on contact/about-style page
51,Signs By Tomorrow Santa Clarita,California,https://www.signsbytomorrow.com/santaclarita,design@sbtsantaclarita.com,75,mailto,https://www.signsbytomorrow.com/santaclarita/sign-company-team,found as mailto; mailto link; found on contact/about-style page
51,Signs By Tomorrow Santa Clarita,California,https://www.signsbytomorrow.com/santaclarita,rhargrave@sbtsantaclarita.com,75,mailto,https://www.signsbytomorrow.com/santaclarita/sign-company-team,found as mailto; mailto link; found on contact/about-style page
53,Laser Marking Services,California,https://www.lasermarkingsvs.com,info@lasermarkingsvs.com,100,mailto,https://www.lasermarkingsvs.com,found as mailto; mailto link; email domain matches website; useful contact role
6,LA Laser Cutting,California,https://lalasercutting.com/,lalasercutting@gmail.com,80,mailto,https://lalasercutting.com/contact-us/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page
