id,company,state,website,triage,crawl_errors,candidate_count,review_statuses,next_action
7,Jimani Inc.,California,https://www.jimani-inc.com/laser-engraving-services/los-angeles,no_email_found_on_site,,0,,Check Google/Maps/Facebook/LinkedIn/Secretary-of-State; mark contact-form-only if none.
8,"Universal Marking, Inc.",California,https://www.laserengravingservices.net/los-angeles-california-etching-marking,dead_dns_external_lookup_needed,url error [Errno -2] Name or service not known,0,,Use browser/search/alternate sources; same-site crawler could not access reliable page.
21,OC Laser Engraving,California,https://oclaser.com/,no_email_found_on_site,,0,,Check Google/Maps/Facebook/LinkedIn/Secretary-of-State; mark contact-form-only if none.
22,Laser Engraver OC,California,http://www.laserengraveroc.com/,dead_dns_external_lookup_needed,url error [Errno -2] Name or service not known,0,,Use browser/search/alternate sources; same-site crawler could not access reliable page.
24,Dunham Metal Processing,California,https://www.dunhammetalprocessing.com/laser-marking-laser-engraving,no_email_found_on_site,,0,,Check Google/Maps/Facebook/LinkedIn/Secretary-of-State; mark contact-form-only if none.
27,Laser's Edge Engraving,California,http://lasersedgeengraving.net/,no_email_found_on_site,,0,,Check Google/Maps/Facebook/LinkedIn/Secretary-of-State; mark contact-form-only if none.
30,Mission Impossible Laser,California,https://www.missionimpossiblelaser.com/,no_email_found_on_site,,0,,Check Google/Maps/Facebook/LinkedIn/Secretary-of-State; mark contact-form-only if none.
39,Creative Laser Engraving,Texas,https://creativelaserengraving.com/,no_email_found_on_site,,0,,Check Google/Maps/Facebook/LinkedIn/Secretary-of-State; mark contact-form-only if none.
40,DFW Custom Engraving,Texas,https://dfwcustomengraving.com/,ssl_problem_external_lookup_needed,url error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1000),0,,Use browser/search/alternate sources; same-site crawler could not access reliable page.
47,Los Angeles Sign Company,California,https://losangelesigncompany.com,blocked_403_external_lookup_needed,http 403,0,,Use browser/search/alternate sources; same-site crawler could not access reliable page.
49,The Sign Studio,California,https://www.thesignstudioonline.com,no_email_found_on_site,,0,,Check Google/Maps/Facebook/LinkedIn/Secretary-of-State; mark contact-form-only if none.
52,Zap'O Marks,California,https://zapomarks.com,no_email_found_on_site,,0,,Check Google/Maps/Facebook/LinkedIn/Secretary-of-State; mark contact-form-only if none.
57,Capital City Signs,California,https://ccssac.com,only_junk_or_template_candidates,,2,reject,Ignore extracted candidates; use external lookup only.
60,Orange County Signs,California,https://orangecountysigns.com,not_found_external_lookup_needed,http 404,0,,Use browser/search/alternate sources; same-site crawler could not access reliable page.
65,Signs West,Texas,https://signswestaustin.com,connection_problem_retry_or_external_lookup,url error timed out,0,,Use browser/search/alternate sources; same-site crawler could not access reliable page.
68,Laser Engraving Pros,Texas,https://lazerengravingpros.com/austin-custom-engraving/,only_junk_or_template_candidates,,1,reject,Ignore extracted candidates; use external lookup only.
70,AlphaGraphics North Austin,Texas,https://www.alphagraphics.com/us-texas-austin-us371/laser-etching,not_found_external_lookup_needed,http 404,0,,Use browser/search/alternate sources; same-site crawler could not access reliable page.
71,FlashWorks Specialties,Texas,https://flashworksspecialties.com,dead_dns_external_lookup_needed,url error [Errno -3] Temporary failure in name resolution,0,,Use browser/search/alternate sources; same-site crawler could not access reliable page.
72,House of Blades,Texas,https://houseofblades.com/laser-engraving-fort-worth/,not_found_external_lookup_needed,http 404,0,,Use browser/search/alternate sources; same-site crawler could not access reliable page.
73,Custom Laser Engravers,Texas,https://customlaserengravers.com,blocked_403_external_lookup_needed,http 403 | http 403 | http 403 | http 403,0,,Use browser/search/alternate sources; same-site crawler could not access reliable page.
74,AM Tech Distributor LLC,Florida,https://amtechdistributor.com,only_junk_or_template_candidates,,2,reject,Ignore extracted candidates; use external lookup only.
79,South Florida Signage,Florida,https://www.southfloridasignage.com,no_email_found_on_site,,0,,Check Google/Maps/Facebook/LinkedIn/Secretary-of-State; mark contact-form-only if none.
83,Tampa Sign Company,Florida,https://www.tampasigncompany.net,no_email_found_on_site,,0,,Check Google/Maps/Facebook/LinkedIn/Secretary-of-State; mark contact-form-only if none.
86,Orlando Sign Company,Florida,https://www.orlandosigncompany.org,only_junk_or_template_candidates,,1,reject,Ignore extracted candidates; use external lookup only.
87,Visual Signs and Graphics,Florida,https://visualsignsandgraphics.com,blocked_403_external_lookup_needed,http 403 | http 403,0,,Use browser/search/alternate sources; same-site crawler could not access reliable page.
