id,company,state,website,email,score,source_kind,source_url,reasons,review_status,review_reason
105,Iconic Signs & Awnings,New York,https://iconicsignsandawnings.com,info@mazalsigns.com,85,mailto,https://iconicsignsandawnings.com/contact-us/,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
105,Iconic Signs & Awnings,New York,https://iconicsignsandawnings.com,iconicsignsandawnings@gmail.com,65,visible,https://iconicsignsandawnings.com/contact-us/,found as visible; visible page text; common small-business mailbox; found on contact/about-style page,accept,visible small-business mailbox with company-name match
107,"Village Signs, Flags & Graphics",New York,https://villagesignsflagsandgraphics.com,village.signs.design@gmail.com,80,mailto,https://villagesignsflagsandgraphics.com/contact/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
122,Windy City Signs and Graphics,Illinois,https://chicagosignsandgraphics.com,info@mywindysigns.com,80,cloudflare,https://chicagosignsandgraphics.com/contact-us/,found as cloudflare; cloudflare-protected email; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
128,Signs Now Naperville,Illinois,https://www.signsnow.com/naperville,signs@signsnownaperville.com,75,mailto,https://www.signsnow.com/naperville/contact,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
133,Lens Laser LLC,Pennsylvania,https://lenslaserpgh.com/,dave@lab6.com,50,visible,https://lenslaserpgh.com/,found as visible; visible page text,reject,known template/developer/service domain
133,Lens Laser LLC,Pennsylvania,https://lenslaserpgh.com/,hi@typemade.mx,50,visible,https://lenslaserpgh.com/,found as visible; visible page text,reject,known template/developer/service domain
148,Cleveland Laser Engraving,Ohio,https://engravecle.com/,laserengravingcle@gmail.com,65,visible,https://engravecle.com/pages/contact,found as visible; visible page text; common small-business mailbox; found on contact/about-style page,manual,visible text needs human source check
159,Signs Now Beavercreek/Dayton,Ohio,https://www.signsnow.com/beavercreekdayton/,sales@signsnowdayton.com,85,mailto,https://www.signsnow.com/beavercreekdayton/contact,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
162,A Sign for the Times,Ohio,https://asignforthetimes.com/,sign4times@aol.com,70,mailto,https://asignforthetimes.com/,found as mailto; mailto link; common small-business mailbox,accept,already applied second-pass candidate
165,Laser Tech,Georgia,https://www.lasertechatlanta.com,lasertech@mindspring.com,75,mailto,https://www.lasertechatlanta.com/about.html,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
165,Laser Tech,Georgia,https://www.lasertechatlanta.com,cnlasertech22@gmail.com,65,visible,https://www.lasertechatlanta.com/contact-us.html,found as visible; visible page text; common small-business mailbox; found on contact/about-style page,accept,visible small-business mailbox with company-name match
165,Laser Tech,Georgia,https://www.lasertechatlanta.com,lasertech22@gmail.com,65,visible,https://www.lasertechatlanta.com/about.html,found as visible; visible page text; common small-business mailbox; found on contact/about-style page,accept,visible small-business mailbox with company-name match
183,Metro Detroit Laser Engraving,Michigan,https://www.metrodetroitlaserengraving.com/,metrodetroitlaser@gmail.com,80,mailto,https://www.metrodetroitlaserengraving.com/contact,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
186,Michigan Laser Engraving,Michigan,https://milaserengraving.com/,michiganlaserengraving@gmail.com,80,mailto,https://milaserengraving.com/hours-contact-us,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
186,Michigan Laser Engraving,Michigan,https://milaserengraving.com/,hello@rfuenzalida.com,70,visible,https://milaserengraving.com/hours-contact-us,found as visible; visible page text; useful contact role; found on contact/about-style page,reject,known template/developer/service domain
186,Michigan Laser Engraving,Michigan,https://milaserengraving.com/,impallari@gmail.com,65,visible,https://milaserengraving.com/hours-contact-us,found as visible; visible page text; common small-business mailbox; found on contact/about-style page,manual,visible text needs human source check
186,Michigan Laser Engraving,Michigan,https://milaserengraving.com/,matt@pixelspread.com,60,visible,https://milaserengraving.com/hours-contact-us,found as visible; visible page text; found on contact/about-style page,reject,known template/developer/service domain
187,DB Graphics A2,Michigan,https://dbgraphicsa2.com/laser-engraving,impallari@gmail.com,65,visible,https://dbgraphicsa2.com/contact-us,found as visible; visible page text; common small-business mailbox; found on contact/about-style page,manual,visible text needs human source check
200,Handicap Sign Inc,Michigan,https://www.hsisign.com/,handicapsign@gmail.com,80,mailto,https://www.hsisign.com/contact/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
211,Carolina Signs & Wonders,North Carolina,https://www.carolinasignage.com,support@leadlane.io,60,visible,https://www.carolinasignage.com,found as visible; visible page text; useful contact role,reject,known template/developer/service domain
244,Prestige Laser Engraving,New Jersey,https://prestigelaserengraving.com/,prestigelaserengraving@hotmail.com,80,mailto,https://prestigelaserengraving.com/contact,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
244,Prestige Laser Engraving,New Jersey,https://prestigelaserengraving.com/,hello@rfuenzalida.com,70,visible,https://prestigelaserengraving.com/contact,found as visible; visible page text; useful contact role; found on contact/about-style page,reject,known template/developer/service domain
244,Prestige Laser Engraving,New Jersey,https://prestigelaserengraving.com/,agustinamingote@gmail.com,65,visible,https://prestigelaserengraving.com/contact,found as visible; visible page text; common small-business mailbox; found on contact/about-style page,manual,visible text needs human source check
244,Prestige Laser Engraving,New Jersey,https://prestigelaserengraving.com/,impallari@gmail.com,65,visible,https://prestigelaserengraving.com/contact,found as visible; visible page text; common small-business mailbox; found on contact/about-style page,manual,visible text needs human source check
244,Prestige Laser Engraving,New Jersey,https://prestigelaserengraving.com/,eben@eyebytes.com,60,visible,https://prestigelaserengraving.com/contact,found as visible; visible page text; found on contact/about-style page,reject,known template/developer/service domain
244,Prestige Laser Engraving,New Jersey,https://prestigelaserengraving.com/,matt@pixelspread.com,60,visible,https://prestigelaserengraving.com/contact,found as visible; visible page text; found on contact/about-style page,reject,known template/developer/service domain
252,Image360 Baltimore Downtown,Maryland,https://image360.com/baltimore-md-downtown,info@image360baltimoredt.com,85,mailto,https://image360.com/baltimore-md-downtown/contact-us,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
253,My Gadget Signs,Maryland,https://mygadgetsigns.com/,mygadgetsigns@gmail.com,80,mailto,https://mygadgetsigns.com/contact-us/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
255,Heritage Printing - Sign Company,Maryland,https://heritageprinting.com/sign-company-baltimore-md.php,sales@heritagecustomsigns.com,85,mailto,https://heritageprinting.com/contact-heritage.php,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
262,The Sign Shop (Wheaton),Maryland,https://www.thesignshopofwheaton.com/,thesignshop@aol.com,80,mailto,https://www.thesignshopofwheaton.com/contact-4,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
264,Accolades Laser Engraving,Maryland,https://aleawards.com/,hello@rfuenzalida.com,60,visible,https://aleawards.com/,found as visible; visible page text; useful contact role,reject,known template/developer/service domain
264,Accolades Laser Engraving,Maryland,https://aleawards.com/,impallari@gmail.com,55,visible,https://aleawards.com/,found as visible; visible page text; common small-business mailbox,manual,visible text needs human source check
264,Accolades Laser Engraving,Maryland,https://aleawards.com/,eben@eyebytes.com,50,visible,https://aleawards.com/,found as visible; visible page text,reject,known template/developer/service domain
267,J&M Laser Engraving Inc.,Massachusetts,https://www.bostonengraving.com,sales@jmlaserengraving.com,70,visible,https://www.bostonengraving.com/contact.html,found as visible; visible page text; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
279,Boston Signs Company,Massachusetts,https://www.bostonsigns.com,sales@signs.boston,85,mailto,https://www.bostonsigns.com/contact-us,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
280,Boston Plaques Company,Massachusetts,https://www.bostonplaques.com,sales@signs.boston,75,mailto,https://www.bostonplaques.com,found as mailto; mailto link; useful contact role,manual,"direct email, but weak company/contact evidence"
283,Signs Now Springfield,Massachusetts,https://www.signsnow.com/springfield,sn206@swbell.net,75,mailto,https://www.signsnow.com/springfield/contact,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
284,Signs Now Plymouth,Massachusetts,https://www.signsnow.com/plymouth,sales@signsnowplymouth.com,85,mailto,https://www.signsnow.com/plymouth/contact,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
294,Morup Signs,Washington,https://morupsigns.com/,morup@wolfenet.com,75,mailto,https://morupsigns.com/contact/,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
303,SignsTec,Washington,https://signstecspokane.com/,info@signs.today,85,mailto,https://signstecspokane.com/contacts/,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
308,Image360 Tacoma Central,Washington,https://image360.com/tacoma-wa-central,info@image360tacomacentral.com,85,mailto,https://image360.com/tacoma-wa-central/contact-us,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
315,"Phoenix Custom Lasering, LLC",Arizona,https://www.phoenixcustomlasering.com,info@phoenixlasering.com,70,visible,https://www.phoenixcustomlasering.com/contact,found as visible; visible page text; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
320,Prescott Trade Shop,Arizona,https://prescotttradeshop.com,eben@eyebytes.com,60,visible,https://prescotttradeshop.com/contact-us,found as visible; visible page text; found on contact/about-style page,reject,known template/developer/service domain
332,CraftMaster Sign,Arizona,https://www.craftmastersign.com,craftmastersign@gmail.com,70,mailto,https://www.craftmastersign.com,found as mailto; mailto link; common small-business mailbox,accept,already applied second-pass candidate
337,Colorado Laser Engraving,Colorado,https://www.colaserengraving.com,colaserengraving@gmail.com,75,cloudflare,https://www.colaserengraving.com/staff.html,found as cloudflare; cloudflare-protected email; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
338,"Colorado Laser Technologies, Inc.",Colorado,https://www.coloradolasermarking.com,info@colaser.biz,85,mailto,https://www.coloradolasermarking.com/about,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
340,Synergy Laser Engraving,Colorado,https://synergylaserengraving.com,synergylaserengraving@gmail.com,80,mailto,https://synergylaserengraving.com/contact/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
345,Huston Graphics and Printing,Colorado,https://hustongraphicsandprinting.com,sales@hustongraphics.com,85,mailto,https://hustongraphicsandprinting.com/contact-us/,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
356,All Phase Laser,Tennessee,https://www.allphaselaser.com,allphaselaser@gmail.com,80,mailto,https://www.allphaselaser.com/about.html,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
360,Burnin' Love Laser Engraving,Tennessee,https://www.burninlovelaserengraving.com,sales@901engraving.com,85,mailto,https://www.burninlovelaserengraving.com/pages/contact,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
367,Franklin Sign Company,Tennessee,https://franklinsignco.com,wweeiihhuuaanngg@gmail.com,65,visible,https://franklinsignco.com/contact-us-1,found as visible; visible page text; common small-business mailbox; found on contact/about-style page,manual,visible text needs human source check
368,Signs Now Nashville,Tennessee,https://www.signsnow.com/nashville/engraved-signs,signinfo@bellsouth.net,75,mailto,https://www.signsnow.com/nashville/contact,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
370,Advantage Sign Co,Tennessee,https://advantagesignnashville.com,advantagesign@mindspring.com,65,mailto,https://advantagesignnashville.com,found as mailto; mailto link,accept,already applied second-pass candidate
372,Signs Now Memphis,Tennessee,https://www.signsnow.com/memphis,sales@signsnowmemphis.com,85,mailto,https://www.signsnow.com/memphis/contact,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
377,Portland Laser Co.,Oregon,https://portlandlaser.co,pdxlaserco@gmail.com,80,mailto,https://portlandlaser.co/contact/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
386,Signs Now Portland,Oregon,https://www.signsnow.com/portland,help@signsnownw.com,75,mailto,https://www.signsnow.com/portland/contact,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
389,SignWorks Signs and Graphics,Oregon,https://www.oregonsignworks.com,usasignworks@gmail.com,70,mailto,https://www.oregonsignworks.com,found as mailto; mailto link; common small-business mailbox,accept,already applied second-pass candidate
395,Salt Lake City Sign Company,Utah,https://www.saltlakecitysigncompany.com,corbin@visibilitysign.com,60,visible,https://saltlakecitysigncompany.com/contact-us/,found as visible; visible page text; found on contact/about-style page,manual,visible text needs human source check
401,Custom Laser Specialty (CLS),Utah,https://customlaserspecialty.com,info@utcls.com,85,mailto,https://customlaserspecialty.com/contact-us/,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
407,High Value Trophy,Utah,https://www.highvaluetrophy.com,sales@highvalue.us,60,visible,https://www.highvaluetrophy.com,found as visible; visible page text; useful contact role,manual,visible text needs human source check
42,ZLazr,Texas,http://zlazr.com/,fzlaser@yahoo.com,80,mailto,http://zlazr.com/pages/contact-us,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
43,Engrave Quick,Texas,https://engravequick.com/,engravequick@gmail.com,65,visible,https://engravequick.com/contact-us/,found as visible; visible page text; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
461,Lazerworx Design Studio,Kansas,https://lazerworx.com/,wichitagiftco@gmail.com,70,mailto,https://lazerworx.com/,found as mailto; mailto link; common small-business mailbox,accept,already applied second-pass candidate
461,Lazerworx Design Studio,Kansas,https://lazerworx.com/,support@wichitagiftco.com,60,visible,https://lazerworx.com/,found as visible; visible page text; useful contact role,manual,visible text needs human source check
468,Lexington Engraving LLC,Kentucky,https://lexingtonengraving.com/,lexingtonengraving@gmail.com,70,mailto,https://lexingtonengraving.com/,found as mailto; mailto link; common small-business mailbox,accept,already applied second-pass candidate
468,Lexington Engraving LLC,Kentucky,https://lexingtonengraving.com/,info@indiantypefoundry.com,60,visible,https://lexingtonengraving.com/,found as visible; visible page text; useful contact role,reject,known template/developer/service domain
470,Nebraska Laser Engraving,Nebraska,http://www.nebraskalaserengraving.com/,trayten@aao.ltd,75,mailto,http://www.nebraskalaserengraving.com/contact/,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
473,Signs Now Omaha,Nebraska,https://www.signsnow.com/omaha/engraved-signs,sales@signsnownebraska.com,85,mailto,https://www.signsnow.com/omaha/contact,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
477,Sand Scripts,South Dakota,https://www.sandscriptsusa.com/,donate@opencart.com,60,visible,https://www.sandscriptsusa.com/about,found as visible; visible page text; found on contact/about-style page,reject,known template/developer/service domain
489,Signs Now Tulsa,Oklahoma,https://www.signsnow.com/tulsa/signs/custom-plaques,signsnowtulsa@gmail.com,80,mailto,https://www.signsnow.com/tulsa/contact,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
490,Signs Now Oklahoma City,Oklahoma,https://www.signsnow.com/oklahomacity/engraved-signs,sales@signsnowokc.com,85,mailto,https://www.signsnow.com/oklahomacity/contact,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
50,American Laser Cutter,California,https://www.americanlaserco.com,americanlaserco@gmail.com,80,mailto,https://www.americanlaserco.com/contact-us/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
501,Imagine Laser Designs,Idaho,https://www.imaginelaserdesigns.com/,imaginelaserdesigns@gmail.com,70,mailto,https://www.imaginelaserdesigns.com/,found as mailto; mailto link; common small-business mailbox,accept,already applied second-pass candidate
504,Custom Den,Idaho,https://customden.com/,customdencda@gmail.com,65,visible,https://customden.com/pages/contact,found as visible; visible page text; common small-business mailbox; found on contact/about-style page,manual,visible text needs human source check
